,0,1,2
73,mrs brown youve got a lovely daughter,hermans hermits,2fLVaStZOldVSX5RyoHG6U
74,mrs brown youve got a lovely daughter,hermans hermits,2fByMgRYBl36O4QPntyqFJ
75,mrs brown youve got a lovely daughter,hermans hermits,6JX0MnGP5bLUIE5xsp7Wdx
76,mrs brown youve got a lovely daughter,hermans hermits,4l83dp0i9jkCxmR4mv2rHU
77,mrs brown youve got a lovely daughter,hermans hermits,79oXmhd3qUyFyFXK3WHzle
78,stop in the name of love,the supremes,52FlwUMMDnTK8TGkCag9Jd
79,stop in the name of love,the supremes,7FkOTLeHROyCOPHlTaKlVO
80,stop in the name of love,the supremes,5lV7wTp2hRL2RsTAqL82tn
81,stop in the name of love,the supremes,439fw34BORO40HlZlFrCt3
82,unchained melody,the righteous brothers,2qhASBzpbFhPRtrnZ5lLnz
83,unchained melody,the righteous brothers,2ACjOtICHXrAlP3ijVMSvb
84,ill never find another you,the seekers,1sQ5WUWw3JrsSEhdiQlfRt
85,ill never find another you,the seekers,0DsSIgYP9q92m2DC9AiSyi
86,ill never find another you,the seekers,6Ln9F9lZNMgV5Ht87z9Bd0
87,ill never find another you,the seekers,3YukkJja4HoB6GDLGjBYdi
88,ill never find another you,the seekers,2CVfbNk7Mruco332gUnlnX
89,cara mia,jay and the americans,6kOGvRl0ie97TShrk210ON
90,mr tambourine man,the byrds,2HCaIYjkvWSZzaSKUoOh3d
91,cast your fate to the wind,sounds orchestral,38KTIenSEnoGNGLUrYdFLV
92,cast your fate to the wind,sounds orchestral,5AYZ3bQdCPC0mKWwKeXXRJ
93,yes im ready,barbara mason,2gZpW5pTZkimGG98loFSl2
94,yes im ready,barbara mason,3aLMilJgzNmCDUbO9ghRug
95,yes im ready,barbara mason,70ON4fghcdhjQjIf5qax7h
96,yes im ready,barbara mason,0v03ES5yARQtGd5wMyWiXr
97,whats new pussycat,tom jones,4HjwGX3pJKJTeOSDpT6GCo
98,whats new pussycat,tom jones,14n0uNnkPEpGDCJ4I4KsOI
99,whats new pussycat,tom jones,1ttDOSQZTBuHRclAHNNQDX
100,whats new pussycat,tom jones,2ggEptPi0PrtLoyVK5DsCy
101,whats new pussycat,tom jones,2fPJwd2KvqXn3MWJnGZTMT
102,whats new pussycat,tom jones,3wvhOcRkskDZp30DnbwPgi
103,whats new pussycat,tom jones,0Aozw0hfFPHPs8hahTOObN
104,whats new pussycat,tom jones,5Q4M1HnTZdafIsBk5B7tNt
105,whats new pussycat,tom jones,6dGmEfcaTOwelHMQKjVDE6
106,whats new pussycat,tom jones,6MhLvxs241mBj07MW2GMYy
107,whats new pussycat,tom jones,7G1X208A2aOVF3jW6u7lsb
108,eve of destruction,barry mcguire,1Zi2ezNOqt9y9irC11xYpN
109,eve of destruction,barry mcguire,4ZXnrszKKzla5nKotOByy1
110,eve of destruction,barry mcguire,2HKjMpXbvb7Ec8k7rm7dIw
111,eve of destruction,barry mcguire,5IK850oUr2EtuAenJXRK58
112,eve of destruction,barry mcguire,64Pkw4cvcREc3lQwU6rREp
113,eve of destruction,barry mcguire,0BNLK2eHJRfyTnsKJj0dTy
114,hang on sloopy,the mccoys,0i7O5MtSTXvR4BEY7stpjF
115,hang on sloopy,the mccoys,6HD0CAnag63bJ2G72ETj9L
116,hang on sloopy,the mccoys,32d8u7MrvuAEuwWbR2j5rC
117,hang on sloopy,the mccoys,78eqrJFbfW5WRWVeM3KPPg
118,hang on sloopy,the mccoys,7gAAIipf3kkBqjI7bemlHi
119,ticket to ride,the beatles,7CZiDzGVjUssMSOXrDNYHL
120,ticket to ride,the beatles,7nhrlsT1P4qsslp28UA1BI
121,ticket to ride,the beatles,2FP07Rr3ZwFmJZXsaj7hjE
122,ticket to ride,the beatles,7b9lvYjHp2vhh4HnXIWmi5
123,ticket to ride,the beatles,1ORS4W9bT6v8v3Yy45KsDY
124,red roses for a blue lady,bert kaempfert,4GXXOBUEpCr58TFHIkLrZ0
125,red roses for a blue lady,bert kaempfert,3G1cTIbIgmrfeRR0Y2ybn3
126,papas got a brand new bag,james brown,2YHAWQbkx7a8cgQVR8yDGO
127,papas got a brand new bag,james brown,5aZzmPUv5a2nna9sxBrmpL
128,papas got a brand new bag,james brown,4bpR5ueJGgjcO6QmKP5FHH
129,papas got a brand new bag,james brown,7kc0ClP6DTNF4rJhK2KbTo
130,papas got a brand new bag,james brown,0ZmrPvlOd2BB2UPZdgIT2N
131,papas got a brand new bag,james brown,3qGny0lH5PNldBMxEwbiyA
132,papas got a brand new bag,james brown,2OUU04So7WQ81bGal3seXL
133,papas got a brand new bag,james brown,3l1A0dujoxMkucGkNuq2Bu
134,papas got a brand new bag,james brown,09eAVqFSougTxKJDVZxo9s
135,papas got a brand new bag,james brown,7JcHQzbSB38Rr24hwdjL9z
136,i know a place,petula clark,4rbYdWpcjXi02Tm3hvmYlh
137,back in my arms again,the supremes,2WjW8DjQru6Ic4KvYDqLys
138,back in my arms again,the supremes,1KV6oOFTOIOD0dc6n1x7iO
139,back in my arms again,the supremes,7xLPIDoeAth9rSs6OM7QXp
140,baby im yours,barbara lewis,5GInJChhrHyXmwb4tQFJJG
141,baby im yours,barbara lewis,0Yxy8FQLrkh6HmA7c305z1
142,the jolly green giant,the kingsmen,0WhJxcxyQOIK9iaH9GmpKv
143,the jolly green giant,the kingsmen,0NtPhfGDB0pSVBy8fFOw9L
144,hush hush sweet charlotte,patti page,7piKtR55k2SsnV7I01ncNI
145,hush hush sweet charlotte,patti page,2eTQz8KFzGPVR72olIN4QL
146,hush hush sweet charlotte,patti page,5w6gKwOf7WDx3EiZKRrCx3
147,hush hush sweet charlotte,patti page,6zhGu9VSymrdDG9eoZKTry
148,hush hush sweet charlotte,patti page,5ua500OFqqpls3mhUE2vHd
149,hush hush sweet charlotte,patti page,1895MWR67wztfvCoS2yeWC
150,hush hush sweet charlotte,patti page,6JBVcjvf4G4HCTgJcdTqEM
151,hush hush sweet charlotte,patti page,3aWqyw9GCKiNaVQMbFJ9QB
152,hush hush sweet charlotte,patti page,4epKIsIEnG9TH76PlIFt1k
153,hush hush sweet charlotte,patti page,5MubmxNgbTAIOscubOOI72
154,like a rolling stone,bob dylan,3AhXZa8sUQht0UEdBJgpGc
155,like a rolling stone,bob dylan,5ZgZhzQGCqVwPydT4CkH0W
156,like a rolling stone,bob dylan,2zsEvCDvYJF2Jl0CoaXw2L
157,like a rolling stone,bob dylan,3X4U8XtqiUBsFLHFOTGpv9
158,like a rolling stone,bob dylan,3ZSBXR4MaMIenGnro7Mqme
159,like a rolling stone,bob dylan,6iN1TTunTJBekwrKhVQMou
160,like a rolling stone,bob dylan,6W6VdR6GvDExlTEZhO2bsy
161,like a rolling stone,bob dylan,4NmAXebgrCnkx8G1NJOATX
162,like a rolling stone,bob dylan,7iTnAnhVdugWZwnbdqbNQl
163,im telling you now,freddie and the dreamers,3qC08srhXBJ6DEQ7CwPMB0
164,im telling you now,freddie and the dreamers,5szsJDjoYOgkT3uzK5q6Ir
165,im telling you now,freddie and the dreamers,2Y4uWO8r9f3YfqBT6nCEg3
166,im telling you now,freddie and the dreamers,0h0IpaPXKTI5DM1hysutn9
167,im telling you now,freddie and the dreamers,2oMflztbdifLTUyXKcTDc4
168,im telling you now,freddie and the dreamers,4MQzzlejfnnSnHgRcl88Ja
169,im telling you now,freddie and the dreamers,2MBg16yogjSJvBobO6VcWg
170,ferry cross the mersey,gerry and the pacemakers,3NFScsiDPfCzKgQQUL0674
171,ferry cross the mersey,gerry and the pacemakers,4aSw1QJIMwYSoDEgzgdCJL
172,ferry cross the mersey,gerry and the pacemakers,18K9dmKRYALgARSSW3SWNj
173,ferry cross the mersey,gerry and the pacemakers,4ej9C4UmjJCffAs2yJinsW
174,ferry cross the mersey,gerry and the pacemakers,1dZ8WUAsipdyBLUQklxhT5
175,ferry cross the mersey,gerry and the pacemakers,55CYovgJjVF46bu0LJNQpz
176,ferry cross the mersey,gerry and the pacemakers,3CPnxYEJjkXrNmzHMnSLCJ
177,ferry cross the mersey,gerry and the pacemakers,0xJuIiUOdv1R9ykRr0IJJ7
178,ferry cross the mersey,gerry and the pacemakers,00tvMJrpnj1COtLmrwGsde
179,ferry cross the mersey,gerry and the pacemakers,0JsCG7gK8HnbBBHIW0VoqS
180,ferry cross the mersey,gerry and the pacemakers,5Hfi7xfVsjmiVWVPE9e6H7
181,ferry cross the mersey,gerry and the pacemakers,3jBSM3smlwqvaQzW6Afhp0
182,just once in my life,the righteous brothers,3Qg7WE98qRezh4Jq9fCKr8
183,just once in my life,the righteous brothers,2qhASBzpbFhPRtrnZ5lLnz
184,just once in my life,the righteous brothers,6t21XVV1qbChyGLICV4Cwn
185,just once in my life,the righteous brothers,0fiChux742RCSJYTxOfCjT
186,just once in my life,the righteous brothers,2OfsF77yHY8JfCEzQyHNe1
187,just once in my life,the righteous brothers,61AFPi9mNLt8AHwlodxIuh
188,just once in my life,the righteous brothers,63GYPSzNsUdAROhzeferhG
189,just once in my life,the righteous brothers,5JQtbaXCBD6PeYHrb9Id57
190,just once in my life,the righteous brothers,1tIQ3ZYoIYXRBzrkVe6xR3
191,just once in my life,the righteous brothers,2qvSz6SvRQRTeb8pqbNi2w
192,just once in my life,the righteous brothers,4bA16j6LClYZTvGKxh75Iy
193,just once in my life,the righteous brothers,1MgXzYmFLDtt2962U6uMPI
194,just once in my life,the righteous brothers,5kzAeKM3M8iGniwMpn1WcO
195,just once in my life,the righteous brothers,7EwXqvtVQd7toN64zGGSxr
196,im henery the eighth i am,hermans hermits,4eaFNt4Elvj9629RyLNJML
